('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         756048 function calls (735462 primitive calls) in 2.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
     2711    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     4269    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       17    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2778    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     4112    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     5569    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
     2733    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
      160    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       57    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     5678    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      880    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       54    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
        2    0.000    0.000    0.001    0.000 client.py:231(_parse_header_lines)
     7608    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     2757    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
