('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728020 function calls (708499 primitive calls) in 1.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      895    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 client.py:1082(_send_output)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      671    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 client.py:1027(send)
       80    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:2815(NamedTuple)
        2    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
  181/150    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
